bits,numberCount,run_id,part1_time,part1_pct,part2_time,part2_pct,part3_time,part3_pct,avg_time
2,270000000,1,1.45570329,27.31535895,1.26e-06,2.364e-05,3.87353552,72.68446399,
2,270000000,2,1.43042403,26.67630039,2.44e-06,4.542e-05,3.93172002,73.32353332,
2,270000000,3,1.47067201,27.78789526,1.55e-06,2.933e-05,3.82181244,72.21197052,
2,270000000,4,1.44369042,26.93071102,1.67e-06,3.12e-05,3.91706225,73.06917744,
2,270000000,5,1.4131007,25.47328823,1.78e-06,3.212e-05,4.13427492,74.52659001,
2,270000000,avg,1.44271809,26.82426516,1.74e-06,3.236e-05,3.93568103,73.17559282,
2,270000000,avg,,,,,,,5.378407
2,290000000,1,1.49453728,25.28554793,1.83e-06,3.088e-05,4.41609107,74.71428375,
2,290000000,2,1.55243617,25.09413192,2.48e-06,4.016e-05,4.63400433,74.90569869,
2,290000000,3,1.48212085,23.89140816,1.66e-06,2.683e-05,4.72144161,76.10842859,
2,290000000,4,1.58430265,23.70001681,2.05e-06,3.071e-05,5.10050336,76.29982515,
2,290000000,5,1.48026945,22.40392,1.7e-06,2.577e-05,5.12691132,77.59594809,
2,290000000,avg,1.51873328,24.03616692,1.95e-06,3.08e-05,4.79979034,75.96367534,
2,290000000,avg,,,,,,,6.318534
2,310000000,1,1.64254033,22.88896716,1.85e-06,2.581e-05,5.53357414,77.11092065,
2,310000000,2,2.09532649,26.49595914,2.87e-06,3.636e-05,5.81276094,73.50390377,
2,310000000,3,2.70194717,32.31638604,2.22e-06,2.659e-05,5.65895975,67.68345805,
2,310000000,4,2.75453805,32.036566,3.17e-06,3.684e-05,5.84355394,67.96326565,
2,310000000,5,2.76629753,31.1268075,3.15e-06,3.54e-05,6.12087626,68.87304596,
2,310000000,avg,2.39212991,29.22189772,2.65e-06,3.241e-05,5.79394501,70.77795709,
2,310000000,avg,,,,,,,8.186087
2,330000000,1,1.75175931,22.83379018,1.23e-06,1.604e-05,5.92001784,77.16610638,
2,330000000,2,1.91045783,25.2844576,1.69e-06,2.239e-05,5.64539141,74.71542042,
2,330000000,3,1.68725837,25.04269179,1.2e-06,1.786e-05,5.05026011,74.9571672,
2,330000000,4,1.68853717,24.95543872,1.47e-06,2.174e-05,5.0776634,75.04443497,
2,330000000,5,1.69901571,25.06909816,1.21e-06,1.789e-05,5.07830675,74.93077873,
2,330000000,avg,1.74740568,24.6053096,1.36e-06,1.918e-05,5.3543279,75.39456777,
2,330000000,avg,,,,,,,7.101742
2,350000000,1,1.79863914,24.87504569,1.19e-06,1.649e-05,5.43204884,75.1248321,
2,350000000,2,1.79290032,24.95161328,2.26e-06,3.14e-05,5.39259843,75.04824936,
2,350000000,3,1.81880505,25.12924758,1.13e-06,1.568e-05,5.41898872,74.87064599,
2,350000000,4,1.81185849,25.21571695,1.87e-06,2.607e-05,5.37356531,74.78415254,
2,350000000,5,1.79542299,24.96452036,1.14e-06,1.591e-05,5.39646726,75.03536369,
2,350000000,avg,1.8035252,25.02717446,1.52e-06,2.109e-05,5.40273371,74.97270307,
2,350000000,avg,,,,,,,7.206268
2,370000000,1,1.96110199,24.92346117,1.82e-06,2.319e-05,5.90738827,75.076443,
2,370000000,2,2.01060711,25.85909651,1.63e-06,2.101e-05,5.76460951,74.14058827,
2,370000000,3,1.93681572,25.32773699,1.18e-06,1.549e-05,5.7101904,74.67215345,
2,370000000,4,1.92555464,24.89243037,1.67e-06,2.164e-05,5.8099395,75.10745812,
2,370000000,5,1.91660313,24.79717317,1.2e-06,1.554e-05,5.81250878,75.20272948,
2,370000000,avg,1.95013652,25.15956157,1.5e-06,1.94e-05,5.80092729,74.84029244,
2,370000000,avg,,,,,,,7.751075
2,390000000,1,1.97413921,24.53719328,1.4e-06,1.744e-05,6.07135037,75.46271147,
2,390000000,2,1.98422498,24.6240647,2.67e-06,3.318e-05,6.07383901,75.37582996,
2,390000000,3,1.97458743,24.5319615,1.07e-06,1.33e-05,6.07444426,75.46793345,
2,390000000,4,1.98247483,24.62093553,1.76e-06,2.18e-05,6.06950597,75.37897238,
2,390000000,5,1.97702943,24.5757838,1.06e-06,1.317e-05,6.06758795,75.42413251,
